,year,tax_band,engine_capacity,urban_metric,extra_urban_metric,combined_metric,urban_imperial,extra_urban_imperial,combined_imperial,noise_level,co2,co_emissions,nox_emissions,thc_nox_emissions,particulates_emissions,fuel_cost_12000_miles,fuel_cost_6000_miles,standard_12_months,standard_6_months,first_year_12_months,first_year_6_months,date_of_change
184,2000.0,,5666.0,19.3,8.9,12.8,14.6,31.7,22.0,75.0,299.0,1003.0,,,,,967.0,,,,,
185,2000.0,,5666.0,19.8,9.2,13.1,14.2,30.6,21.5,74.0,306.0,545.0,,,,,990.0,,,,,
186,2000.0,,1996.0,11.6,6.9,8.6,24.4,40.9,32.8,71.0,202.0,1090.0,78.0,,,,649.0,,,,,
187,2000.0,,1996.0,10.7,6.3,7.9,26.4,44.8,35.8,71.0,185.0,933.0,58.0,,,,594.0,,,,,
188,2000.0,,1996.0,11.5,7.0,8.7,24.6,40.4,32.5,73.0,205.0,1097.0,24.0,,,,655.0,,,,,
189,2000.0,,1996.0,13.1,7.9,9.8,21.6,35.8,28.8,72.0,232.0,1050.0,35.0,,,,739.0,,,,,
190,2000.0,,7990.0,33.1,12.7,20.2,8.5,22.2,14.0,74.6,483.0,960.0,,,,,1520.0,,,,,
191,2000.0,,1995.0,13.2,7.7,9.7,21.4,36.7,29.1,74.0,229.0,800.0,,,,,731.0,,,,,
192,2000.0,,2499.0,11.2,7.2,8.6,25.2,39.2,32.8,74.0,228.0,540.0,,,0.07,,665.0,,,,,
193,2000.0,,2499.0,11.2,7.2,8.6,25.2,39.2,32.8,74.0,228.0,540.0,,,0.07,,665.0,,,,,
194,2000.0,,3301.0,17.1,9.4,12.3,16.5,30.1,23.0,71.0,287.0,670.0,,,,,925.0,,,,,
195,2000.0,,3301.0,17.1,9.4,12.3,16.5,30.1,23.0,71.0,287.0,670.0,,,,,925.0,,,,,
196,2000.0,,2464.0,15.7,9.4,11.7,18.0,30.1,24.1,75.0,279.0,1310.0,,,,,883.0,,,,,
197,2000.0,,2499.0,11.7,7.3,9.0,24.1,38.7,31.4,75.0,255.0,550.0,,,0.063,,695.0,,,,,
198,2000.0,,3960.0,20.3,11.0,14.4,13.9,25.7,19.6,74.0,341.0,1180.0,90.0,,,,1085.0,,,,,
199,2000.0,,3124.0,14.9,9.7,11.7,19.0,29.1,24.1,75.0,308.0,42.0,1013.0,,0.077,,905.0,,,,,
200,2000.0,,3956.0,21.3,12.0,15.4,13.3,23.5,18.3,71.0,366.0,1653.0,114.0,,,,1163.0,,,,,
201,2000.0,,4701.0,22.3,13.0,16.4,12.7,21.7,17.2,73.0,390.0,1569.0,24.0,,,,1237.0,,,,,
202,2000.0,,2464.0,15.6,9.5,11.7,18.1,29.7,24.1,74.0,273.0,1034.0,,,,,883.0,,,,,
203,2000.0,,3960.0,18.8,9.8,13.1,15.0,28.8,21.6,74.0,311.0,1090.0,70.0,,,,985.0,,,,,
204,2000.0,,3960.0,19.0,10.6,13.7,14.9,26.6,20.6,72.0,325.0,1010.0,110.0,,,,1033.0,,,,,
205,2000.0,,1360.0,9.5,5.9,7.2,29.7,47.9,39.2,74.0,178.0,707.0,,,,,543.0,,,,,
206,2000.0,,1761.0,11.9,7.1,8.9,23.7,39.8,31.7,71.4,210.0,1010.0,,,,,671.0,,,,,
207,2000.0,,1868.0,8.6,5.4,6.6,32.8,52.3,42.8,73.4,178.0,179.0,,,0.029,,510.0,,,,,
208,2000.0,,954.0,8.3,5.1,6.2,34.0,55.4,45.6,72.4,149.0,696.0,,,,,467.0,,,,,
209,2000.0,,1124.0,8.6,5.3,6.5,32.8,53.3,43.5,73.1,155.0,391.0,,,,,489.0,,,,,
210,2000.0,,1360.0,8.8,5.2,6.5,32.1,54.3,43.5,73.4,160.0,1019.0,,,,,489.0,,,,,
211,2000.0,,1360.0,10.5,6.4,7.9,26.9,44.1,35.8,71.3,195.0,1026.0,,,,,594.0,,,,,
212,2000.0,,1527.0,6.9,4.3,5.3,40.9,65.7,53.3,73.5,139.0,397.0,,,0.048,,409.0,,,,,
213,2000.0,,1587.0,9.9,5.8,7.3,28.5,48.7,38.7,72.3,178.0,590.0,,,,,550.0,,,,,
214,2000.0,,1587.0,11.4,6.3,8.1,24.8,44.8,34.9,73.4,194.0,1224.0,,,,,610.0,,,,,
215,2000.0,,1997.0,8.4,5.6,6.7,33.6,50.4,42.2,72.2,182.0,174.0,,,0.059,,517.0,,,,,
216,2000.0,,1998.0,13.8,8.1,10.2,20.5,34.9,27.7,73.6,252.0,833.0,,,,,768.0,,,,,
217,2000.0,,1997.0,12.3,7.4,9.2,23.0,38.2,30.7,72.3,221.0,396.0,98.0,,,,693.0,,,,,
218,2000.0,,1997.0,13.6,7.6,9.7,20.9,37.2,29.1,73.6,232.0,497.0,35.0,,,,731.0,,,,,
219,2000.0,,1905.0,10.6,6.7,8.1,26.6,42.2,34.9,73.3,215.0,567.0,,,0.057,,625.0,,,,,
220,2000.0,,1761.0,12.2,6.7,8.7,23.2,42.2,32.5,73.7,209.0,512.0,,,,,655.0,,,,,
221,2000.0,,1761.0,12.9,6.6,8.9,21.9,42.8,31.7,73.0,217.0,625.0,,,,,671.0,,,,,
222,2000.0,,1761.0,12.4,7.0,9.0,22.8,40.4,31.4,73.7,214.0,512.0,,,,,678.0,,,,,
223,2000.0,,1905.0,11.5,6.0,8.0,24.6,47.1,35.3,74.0,223.0,133.0,,,0.066,,618.0,,,,,
224,2000.0,,1905.0,11.6,6.1,8.1,24.4,46.3,34.9,74.0,225.0,133.0,,,0.066,,625.0,,,,,
225,2000.0,,1997.0,7.3,4.5,5.5,38.7,62.8,51.4,72.3,150.0,629.0,,,0.036,,425.0,,,,,
226,2000.0,,1997.0,7.5,4.7,5.7,37.7,60.1,49.6,72.3,156.0,629.0,,,0.036,,440.0,,,,,
227,2000.0,,1997.0,7.4,4.7,5.6,38.2,60.1,50.4,70.9,154.0,389.0,,,0.071,,433.0,,,,,
228,2000.0,,1997.0,7.6,4.8,5.8,37.2,58.9,48.7,70.9,160.0,389.0,,,0.071,,448.0,,,,,
229,2000.0,,1998.0,12.9,6.9,9.1,21.9,40.9,31.0,73.7,219.0,455.0,,,,,686.0,,,,,
230,2000.0,,1998.0,13.9,7.0,9.5,20.3,40.4,29.7,73.2,232.0,418.0,,,,,716.0,,,,,
231,2000.0,,1998.0,13.2,7.2,9.4,21.4,39.2,30.1,73.7,223.0,455.0,,,,,707.0,,,,,
232,2000.0,,1998.0,14.0,7.1,9.6,20.2,39.8,29.4,73.2,234.0,418.0,,,,,724.0,,,,,
233,2000.0,,1998.0,13.9,7.6,9.9,20.3,37.2,28.5,73.7,237.0,1045.0,,,,,747.0,,,,,
234,2000.0,,1998.0,14.2,7.7,10.1,19.9,36.7,28.0,73.7,241.0,1045.0,,,,,760.0,,,,,
235,2000.0,,2946.0,17.2,8.4,11.6,16.4,33.6,24.4,71.1,281.0,874.0,,,,,872.0,,,,,
236,2000.0,,1998.0,13.5,7.4,9.6,20.9,38.2,29.4,73.5,225.0,1397.0,,,,,724.0,,,,,
237,2000.0,,1998.0,15.7,7.5,10.5,18.0,37.7,26.9,70.0,255.0,916.0,,,,,791.0,,,,,
238,2000.0,,1998.0,13.5,7.4,9.6,20.9,38.2,29.4,73.5,225.0,1397.0,,,,,724.0,,,,,
239,2000.0,,1998.0,15.7,7.5,10.5,18.0,37.7,26.9,70.0,255.0,916.0,,,,,791.0,,,,,
