file,year,manufacturer,model,description,euro_standard,tax_band,transmission,transmission_type,engine_capacity,fuel_type,urban_metric,extra_urban_metric,combined_metric,urban_imperial,extra_urban_imperial,combined_imperial,noise_level,co2,thc_emissions,co_emissions,nox_emissions,thc_nox_emissions,particulates_emissions,fuel_cost_12000_miles,fuel_cost_6000_miles,standard_12_months,standard_6_months,first_year_12_months,first_year_6_months,date_of_change
DatapartC_july2000.csv,2000,Alfa Romeo,156 Sportwagon Range,1.8 Twin Spark 16v,2,,M5,Manual,1747,Petrol,11.7,6.4,8.4,24.1,44.1,33.6,74,199,,848,,,,,633,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,156 Sportwagon Range,2.0 Selespeed,2,,SAT5,Automatic,1970,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,73.5,209,,1296,,,,,663,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,156 Sportwagon Range,2.0 Twin Spark 16v,2,,M5,Manual,1970,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,73.5,209,,1444,,,,,663,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,156 Sportwagon Range,2.4 JTD,2,,M5,Manual,2387,Diesel,9,5.6,6.8,31.4,50.4,41.5,74,180,,894,,,0.056,,526,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,156 Sportwagon Range,2.5 V6,2,,M6,Manual,2492,Petrol,17.2,8.6,11.7,16.4,32.8,24.1,74,280,,1518,,,,,883,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,156 Sportwagon Range,2.5 V6 Q-System,2,,A4,Automatic,2492,Petrol,17.7,8.7,12,16,32.5,23.5,71,287,,1267,,,,,905,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,166 Range,2.0 Twin Spark 16v,2,,M5,Manual,1970,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,73.5,230,,1171,,,,,731,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,166 Range,2.5 V6 24v,2,,M5,Manual,2492,Petrol,16.3,8.6,11.4,17.3,32.8,24.8,73,271,,1170,,,,,858,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,166 Range,2.5 V6 24v Sportronic,2,,A4,Automatic,2492,Petrol,17.5,9.1,12.2,16.1,31,23.2,72,289,,1177,,,,,917,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,166 Range,3.0 V6 24v Sportronic,2,,A4,Automatic,2959,Petrol,19.4,9.3,13,14.6,30.4,21.7,72,308,,1220,,,,,980,,,,,
